"scenario_type","scenario_type_description","scenario","scenario_description","coverage_set","gavi_support_level","source_from","disease","vaccine","activity_type","year","country","age_from","age_to","age_range_verbatim","target","coverage","gender","proportion_risk"
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2030,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2031,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2032,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2033,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2034,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2035,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2036,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2037,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2038,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2039,"RFP",0,0,"default routine age","NA",0.8,"Both",1
"disease_rout","Routine Only","disease_rout","disease_rout","disease : disease , routine ,with: disease_rout","with","scenario_source","disease","disease","routine",2040,"RFP",0,0,"default routine age","NA",0.8,"Both",1
